Altium Designer Pick and Place Locations
C:\code\Skayboard\altium\Rev4\Build\Pick Place\Pick Place for SkayboardRev4.csv

========================================================================================================================
File Design Information:

Date:       31/12/20
Time:       14:56
Revision:   72a8e6a273ae3f7731b7717cc676104b142fe16c
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"24","139.7473mm","73.0687mm","TopLayer","0"
"CR44","351.2863mm","90.7279mm","BottomLayer","90"
"CR11","137.6825mm","103.6363mm","BottomLayer","180"
"CR10","157.9231mm","103.6363mm","BottomLayer","180"
"CR9","178.1638mm","103.6363mm","BottomLayer","180"
"CR8","198.4044mm","103.6363mm","BottomLayer","180"
"CR7","218.6450mm","103.6363mm","BottomLayer","180"
"CR6","238.8856mm","103.6363mm","BottomLayer","180"
"CR5","259.1263mm","103.6363mm","BottomLayer","180"
"CR4","279.3669mm","103.6363mm","BottomLayer","180"
"CR3","299.6075mm","103.6363mm","BottomLayer","180"
"CR2","319.8481mm","103.6363mm","BottomLayer","180"
"CR1","340.0888mm","103.6363mm","BottomLayer","180"
"CR22","3.8057mm","16.5247mm","BottomLayer","270"
"CR21","3.8057mm","35.5747mm","BottomLayer","270"
"CR20","3.8057mm","54.6246mm","BottomLayer","270"
"CR19","3.8057mm","73.6747mm","BottomLayer","270"
"CR18","3.8057mm","92.7260mm","BottomLayer","270"
"CR17","16.2388mm","103.6363mm","BottomLayer","180"
"CR16","36.4794mm","103.6363mm","BottomLayer","180"
"CR15","56.7200mm","103.6363mm","BottomLayer","180"
"CR14","76.9606mm","103.6363mm","BottomLayer","180"
"CR13","97.2013mm","103.6363mm","BottomLayer","180"
"CR12","117.4419mm","103.6363mm","BottomLayer","180"
"CR33","216.6475mm","2.9929mm","BottomLayer","0"
"CR32","196.4069mm","2.9929mm","BottomLayer","0"
"CR31","176.1662mm","2.9929mm","BottomLayer","0"
"CR30","151.2012mm","2.9929mm","BottomLayer","360"
"CR29","135.6850mm","2.9929mm","BottomLayer","0"
"CR28","115.4444mm","2.9929mm","BottomLayer","0"
"CR27","95.2037mm","2.9929mm","BottomLayer","0"
"CR26","74.9631mm","2.9929mm","BottomLayer","0"
"CR25","54.7225mm","2.9929mm","BottomLayer","0"
"CR24","34.4819mm","2.9929mm","BottomLayer","0"
"CR23","14.2412mm","2.9929mm","BottomLayer","360"
"CR43","351.2863mm","71.6779mm","BottomLayer","90"
"CR42","351.2863mm","52.6279mm","BottomLayer","90"
"CR41","351.2863mm","33.5780mm","BottomLayer","90"
"CR40","351.2863mm","14.5280mm","BottomLayer","90"
"CR39","338.0912mm","2.9929mm","BottomLayer","0"
"CR38","317.8506mm","2.9929mm","BottomLayer","0"
"CR37","297.6100mm","2.9929mm","BottomLayer","0"
"CR36","277.3694mm","2.9929mm","BottomLayer","0"
"CR35","257.1287mm","2.9929mm","BottomLayer","0"
"CR34","236.8881mm","2.9929mm","BottomLayer","0"
"XTAL1","162.7000mm","2.0000mm","BottomLayer","180"
"USB1","175.8000mm","13.8350mm","BottomLayer","90"
"U1","162.3000mm","12.7000mm","BottomLayer","180"
"R3","165.8000mm","4.6000mm","BottomLayer","90"
"R2","173.0000mm","13.3000mm","BottomLayer","0"
"R1","173.0000mm","14.4000mm","BottomLayer","360"
"RST1","168.6650mm","5.1000mm","BottomLayer","360"
"C10","170.8000mm","15.9000mm","BottomLayer","360"
"C9","158.3000mm","21.2000mm","BottomLayer","90"
"C11","164.2337mm","4.6562mm","BottomLayer","270"
"C8","168.0000mm","19.1000mm","BottomLayer","90"
"C7","153.6000mm","9.5000mm","BottomLayer","180"
"C6","170.8000mm","11.9000mm","BottomLayer","360"
"C5","159.7000mm","1.1000mm","BottomLayer","360"
"C4","165.3349mm","2.2575mm","BottomLayer","90"
"C3","172.8000mm","11.4200mm","BottomLayer","90"
"C2","172.8000mm","16.2000mm","BottomLayer","90"
"C1","165.3000mm","20.8000mm","BottomLayer","180"
"18","20.6837mm","73.0679mm","TopLayer","0"
"8","149.8169mm","92.1187mm","TopLayer","0"
"75","321.2669mm","15.9188mm","TopLayer","0"
"1","16.4659mm","92.1193mm","TopLayer","0"
"76","340.3169mm","15.9188mm","TopLayer","0"
"74","302.2169mm","15.9188mm","TopLayer","0"
"72","256.9724mm","15.9183mm","TopLayer","0"
"71","233.1594mm","15.9183mm","TopLayer","0"
"70","209.3474mm","15.9183mm","TopLayer","0"
"69","137.9094mm","15.9183mm","TopLayer","0"
"68","66.4722mm","15.9182mm","TopLayer","0"
"67","42.6597mm","15.9181mm","TopLayer","0"
"66","18.8471mm","15.9180mm","TopLayer","0"
"65","339.7723mm","34.9688mm","TopLayer","0"
"64","320.7223mm","34.9688mm","TopLayer","0"
"63","301.6723mm","34.9688mm","TopLayer","0"
"62","265.9528mm","34.9683mm","TopLayer","0"
"61","230.2338mm","34.9683mm","TopLayer","0"
"60","211.1838mm","34.9683mm","TopLayer","0"
"59","192.1338mm","34.9683mm","TopLayer","0"
"58","173.0838mm","34.9683mm","TopLayer","0"
"57","154.0338mm","34.9683mm","TopLayer","0"
"56","134.9838mm","34.9683mm","TopLayer","0"
"55","115.9338mm","34.9683mm","TopLayer","0"
"54","96.8839mm","34.9682mm","TopLayer","0"
"53","77.8338mm","34.9681mm","TopLayer","0"
"52","58.7838mm","34.9681mm","TopLayer","0"
"51","27.8275mm","34.9680mm","TopLayer","0"
"50","340.3169mm","54.0187mm","TopLayer","0"
"49","321.2669mm","54.0187mm","TopLayer","0"
"48","302.2169mm","54.0187mm","TopLayer","0"
"73","280.7844mm","15.9183mm","TopLayer","0"
"47","271.2594mm","54.0182mm","TopLayer","0"
"46","240.3034mm","54.0182mm","TopLayer","0"
"45","221.2534mm","54.0182mm","TopLayer","0"
"44","202.2034mm","54.0182mm","TopLayer","0"
"43","183.1534mm","54.0182mm","TopLayer","0"
"42","164.1034mm","54.0182mm","TopLayer","0"
"41","145.0534mm","54.0182mm","TopLayer","0"
"40","126.0034mm","54.0182mm","TopLayer","0"
"39","106.9535mm","54.0181mm","TopLayer","0"
"38","87.9034mm","54.0180mm","TopLayer","0"
"37","68.8534mm","54.0180mm","TopLayer","0"
"36","49.8034mm","54.0180mm","TopLayer","0"
"35","23.6096mm","54.0179mm","TopLayer","0"
"34","339.7723mm","73.0687mm","TopLayer","0"
"33","320.7223mm","73.0687mm","TopLayer","0"
"32","301.6723mm","73.0687mm","TopLayer","0"
"31","277.8588mm","73.0682mm","TopLayer","0"
"30","254.0473mm","73.0687mm","TopLayer","0"
"29","234.9973mm","73.0687mm","TopLayer","0"
"28","215.9473mm","73.0687mm","TopLayer","0"
"27","196.8973mm","73.0687mm","TopLayer","0"
"26","177.8473mm","73.0687mm","TopLayer","0"
"25","158.7973mm","73.0687mm","TopLayer","0"
"23","120.6973mm","73.0687mm","TopLayer","0"
"22","101.6471mm","73.0688mm","TopLayer","0"
"21","82.5970mm","73.0687mm","TopLayer","0"
"20","63.5470mm","73.0687mm","TopLayer","0"
"19","44.4970mm","73.0687mm","TopLayer","0"
"17","340.3169mm","92.1187mm","TopLayer","0"
"16","321.2662mm","92.1194mm","TopLayer","0"
"15","302.2169mm","92.1187mm","TopLayer","0"
"14","273.6419mm","92.1187mm","TopLayer","0"
"13","245.0669mm","92.1187mm","TopLayer","0"
"12","226.0169mm","92.1187mm","TopLayer","0"
"11","206.9669mm","92.1187mm","TopLayer","0"
"10","187.9169mm","92.1187mm","TopLayer","0"
"9","168.8669mm","92.1187mm","TopLayer","0"
"7","130.7659mm","92.1197mm","TopLayer","0"
"6","111.7149mm","92.1187mm","TopLayer","0"
"5","92.6666mm","92.1187mm","TopLayer","0"
"4","73.6166mm","92.1187mm","TopLayer","0"
"3","54.5666mm","92.1187mm","TopLayer","0"
"2","35.5166mm","92.1187mm","TopLayer","0"
