Altium Designer Pick and Place Locations
C:\code\Skayboard\altium\build\Pick Place\Pick Place for SkayboardAgain.csv

========================================================================================================================
File Design Information:

Date:       30/07/21
Time:       12:13
Revision:   1b67fc851b30e122576da304628c2718613cd7b0
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"C_ULED1","344.3395mm","104.2091mm","BottomLayer","360"
"C_ULED2","324.1029mm","104.1979mm","BottomLayer","0"
"C_ULED3","303.8623mm","104.1979mm","BottomLayer","0"
"C_ULED4","283.5826mm","104.2066mm","BottomLayer","0"
"C_ULED5","263.3586mm","104.1822mm","BottomLayer","0"
"C_ULED6","243.1539mm","104.1751mm","BottomLayer","0"
"C_ULED7","222.9476mm","104.1772mm","BottomLayer","0"
"C_ULED8","202.6837mm","104.1837mm","BottomLayer","0"
"C_ULED9","182.4775mm","104.2175mm","BottomLayer","0"
"C_ULED10","162.1707mm","104.2091mm","BottomLayer","0"
"C_ULED11","141.9269mm","104.2091mm","BottomLayer","0"
"C_ULED12","121.7085mm","104.1329mm","BottomLayer","0"
"C_ULED13","101.5155mm","104.2345mm","BottomLayer","0"
"C_ULED14","81.1955mm","104.1837mm","BottomLayer","0"
"C_ULED15","61.0279mm","104.2345mm","BottomLayer","0"
"C_ULED16","40.7333mm","104.2091mm","BottomLayer","0"
"C_ULED17","20.4387mm","104.2091mm","BottomLayer","0"
"C_ULED18","3.0892mm","97.0651mm","BottomLayer","90"
"C_ULED19","3.1567mm","78.0459mm","BottomLayer","90"
"C_ULED20","3.1567mm","58.9197mm","BottomLayer","90"
"C_ULED21","3.1567mm","39.8951mm","BottomLayer","90"
"C_ULED22","3.1049mm","20.4171mm","BottomLayer","90"
"C_ULED23","9.9651mm","3.0297mm","BottomLayer","180"
"C_ULED24","29.7622mm","3.0409mm","BottomLayer","180"
"C_ULED25","49.5379mm","3.0409mm","BottomLayer","180"
"C_ULED26","69.3136mm","3.0409mm","BottomLayer","180"
"C_ULED27","89.0893mm","3.0409mm","BottomLayer","180"
"C_ULED28","108.8651mm","3.0409mm","BottomLayer","180"
"C_ULED29","128.6408mm","3.0409mm","BottomLayer","180"
"C_ULED30","148.4165mm","3.0409mm","BottomLayer","180"
"C_ULED31","171.9115mm","3.0409mm","BottomLayer","180"
"C_ULED32","192.5392mm","2.6538mm","BottomLayer","270"
"C_ULED33","212.3927mm","3.0409mm","BottomLayer","180"
"C_ULED34","232.6334mm","3.0409mm","BottomLayer","180"
"C_ULED35","252.8740mm","3.0409mm","BottomLayer","180"
"C_ULED36","273.0213mm","3.0409mm","BottomLayer","180"
"C_ULED37","293.3552mm","3.0409mm","BottomLayer","180"
"C_ULED39","333.8477mm","3.0297mm","BottomLayer","180"
"C_ULED38","313.5959mm","3.0409mm","BottomLayer","180"
"C_ULED40","351.8479mm","10.5975mm","BottomLayer","270"
"C_ULED41","351.8479mm","29.6475mm","BottomLayer","270"
"C_ULED42","351.8479mm","48.6975mm","BottomLayer","270"
"C_ULED43","351.8408mm","67.6388mm","BottomLayer","270"
"C7","158.5644mm","21.0820mm","BottomLayer","270"
"LED_ULED43","351.1550mm","72.6760mm","TopLayer","270"
"Space","136.9691mm","14.8910mm","TopLayer","0"
"RShift","265.5571mm","33.9410mm","TopLayer","0"
"LShift","27.4315mm","33.9410mm","TopLayer","0"
"Enter","270.3191mm","52.9910mm","TopLayer","0"
"BKSP","272.7020mm","91.0924mm","TopLayer","0"
"XTAL","163.0680mm","2.1336mm","BottomLayer","360"
"USB1","175.1584mm","14.3764mm","BottomLayer","90"
